,日期,时间,河名,站号,站名,水位,水势,比昨日</br>+涨-落,流量,设防</br>水位,警戒</br>水位,最高</br>水位
28,2020-07-01,00:00,鄱阳湖,62601600,湖口,17.75,5,0.24,363,--,19.50,22.59
29,2020-07-01,00:00,沮漳河,60908000,河溶,44.66,4,44.66,430,47.50,48.50,50.49
30,2020-07-01,00:00,湘江,61102000,湘潭,31.96,,0.33,,--,38.00,41.95
31,2020-07-01,00:00,东荆河,62213000,潜江,33.78,5,0.85,488,38.40,39.70,42.09
32,2020-07-01,00:00,资水,61202100,桃江,33.46,4,0.67,687,--,39.20,44.44
33,2020-07-01,00:00,汉北河,62206900,天门,28.16,4,-0.18,242,28.30,29.30,31.35
34,2020-07-01,00:00,沅水,61302800,桃源,39.44,4,0.65,11300,--,42.50,47.37
35,2020-07-01,00:00,大富水,62209400,应城,26.83,5,-0.10,,27.50,29.00,33.01
36,2020-07-01,00:00,澧水,61400900,石门,52.79,6,-0.41,1290,--,58.50,62.66
37,2020-07-01,00:00,环水,62205600,花园,32.88,4,-0.50,156,--,37.50,39.95
38,2020-07-01,00:00,松滋河,61500300,新江口,43.16,6,0.19,3660,43.00,44.00,46.18
39,2020-07-01,00:00,环水,62205800,孝感,28.11,4,-1.46,,26.50,27.50,32.28
40,2020-07-01,00:00,松滋河,61501200,沙道观,42.92,5,0.27,1250,43.00,44.00,45.51
41,2020-07-01,00:00,府河,62201400,隔蒲潭,28.54,4,-2.72,735,29.50,30.50,33.57
42,2020-07-01,00:00,藕池河,61502200,管家铺,36.72,6,0.29,1950,37.50,38.50,40.28
43,2020-07-01,00:00,府澴河,62201800,卧龙潭,27.50,4,-1.43,,26.50,27.00,31.19
44,2020-07-01,00:00,藕池河,61501800,康家岗,36.74,5,0.27,57.7,37.50,38.50,40.44
45,2020-07-01,00:00,富水,61607000,阳新,19.91,6,0.21,,20.00,21.50,23.69
46,2020-07-01,00:00,虎渡河,61501500,弥陀寺,41.04,6,0.22,1130,42.00,43.00,44.90
47,2020-07-01,00:00,滠水,61609400,黄陂,25.09,6,-0.07,,25.00,26.00,29.31
48,2020-07-01,00:00,长湖,61014500,长湖,31.77,5,0.24,,31.50,32.50,33.46
49,2020-07-01,00:00,倒水,61610600,李家集,24.86,4,-0.91,,26.30,28.00,30.76
50,2020-07-01,00:00,洪湖,61018000,挖沟咀,25.38,4,0.06,,25.80,26.20,27.46
51,2020-07-01,00:00,举水,61612400,柳子港,25.01,6,-0.76,272,28.00,29.00,33.58
52,2020-07-01,00:00,刁汊湖,62210820,余家咀,24.50,6,0.02,,25.00,25.70,--
53,2020-07-01,00:00,巴水,61615600,马家潭,22.60,5,-0.36,793,--,--,--
54,2020-07-01,00:00,斧头湖,61714000,三洲,21.66,6,0.07,,21.50,22.80,24.59
55,2020-07-01,00:00,蕲水,61619600,西河驿,20.93,6,0.18,86.8,--,--,--
56,2020-07-01,01:00,长江,60105400,寸滩,169.22,5,-0.50,20100,--,--,--
57,2020-07-01,01:00,梁子湖,61602600,梁子镇,18.55,6,0.05,,19.00,20.50,21.49
58,2020-07-01,01:00,长江,60803000,武隆,185.52,5,5.91,7190,--,--,--
59,2020-07-01,01:00,汉江,61801300,安康,236.88,4,-0.02,885,--,--,259.26
60,2020-07-01,01:00,长江,60107300,宜昌,50.16,5,0.09,36300,52.00,53.00,55.92
61,2020-07-01,01:00,汉江,61801700,白河,173.91,5,0.12,1520,--,187.00,196.63
62,2020-07-01,01:00,长江,60107400,枝城,46.16,4,0.05,39000,48.00,49.00,50.75
63,2020-07-01,01:00,汉江,61802800,黄家港,89.14,4,-0.08,1120,--,--,96.45
64,2020-07-01,01:00,长江,60108300,沙市,41.15,4,0.21,32400,42.00,43.00,45.22
65,2020-07-01,01:00,汉江,61803400,襄阳,64.78,5,0.07,,65.50,67.00,71.71
66,2020-07-01,01:00,长江,60110500,监利,34.50,5,0.30,28700,34.50,35.50,38.31
67,2020-07-01,01:00,汉江,61803500,宜城,51.94,5,-0.62,,56.50,57.50,61.45
68,2020-07-01,01:00,长江,60111200,莲花塘,31.29,5,0.40,,--,32.50,35.80
69,2020-07-01,01:00,汉江,61804110,皇庄,43.83,4,-0.45,3500,47.00,48.00,52.30
70,2020-07-01,01:00,长江,60111300,螺山,30.20,4,0.33,42200,31.00,32.00,34.95
71,2020-07-01,01:00,汉江,61804210,沙洋,38.58,4,-0.16,,40.80,41.80,44.50
72,2020-07-01,01:00,长江,60112200,汉口,25.20,5,0.30,44300,25.00,27.30,29.73
73,2020-07-01,01:00,汉江,61804400,岳口,32.44,5,0.85,,36.90,37.90,40.62
74,2020-07-01,01:00,长江,60112900,黄石,21.69,4,0.26,,22.80,24.50,26.39
75,2020-07-01,01:00,汉江,61804600,仙桃,30.05,5,1.10,3220,34.10,35.10,36.24
76,2020-07-01,01:00,长江,60113205,码头镇,19.31,5,0.23,,20.50,21.50,24.04
77,2020-07-01,01:00,汉江,61804710,汉川,27.39,5,0.95,,28.00,29.00,32.09
78,2020-07-01,01:00,长江,60113400,九江,18.37,5,0.24,45300,19.50,20.00,23.03
79,2020-07-01,01:00,汉江,61802700,丹江口水库,159.75,4,0.05,995(出),--,--,--
80,2020-07-01,01:00,长江,60106980,三峡水库,146.97,4,-0.67,34200(出),--,--,--
81,2020-07-01,01:00,清江,61002791,水布垭,391.93,4,-1.58,992(入)<br>2770(出),--,--,--
82,2020-07-01,01:00,洞庭湖,61512000,城陵矶,31.35,5,0.41,14600,--,32.50,35.94
83,2020-07-01,01:00,清江,61003101,隔河岩,193.45,4,193.45,3110(入)<br>4790(出),--,--,--
84,2020-07-01,01:00,鄱阳湖,62601600,湖口,17.76,5,0.23,363,--,19.50,22.59
85,2020-07-01,01:00,沮漳河,60908000,河溶,44.60,4,-1.77,425,47.50,48.50,50.49
86,2020-07-01,01:00,湘江,61102000,湘潭,31.99,,0.37,,--,38.00,41.95
87,2020-07-01,01:00,东荆河,62213000,潜江,33.80,5,0.83,491,38.40,39.70,42.09
88,2020-07-01,01:00,资水,61202100,桃江,33.31,4,0.40,618,--,39.20,44.44
89,2020-07-01,01:00,汉北河,62206900,天门,28.15,4,-0.19,241,28.30,29.30,31.35
90,2020-07-01,01:00,沅水,61302800,桃源,39.29,4,0.34,11000,--,42.50,47.37
91,2020-07-01,01:00,大富水,62209400,应城,26.83,6,-0.07,,27.50,29.00,33.01
92,2020-07-01,01:00,澧水,61400900,石门,52.78,6,-0.47,1280,--,58.50,62.66
93,2020-07-01,01:00,环水,62205600,花园,32.87,4,-0.47,153,--,37.50,39.95
94,2020-07-01,01:00,松滋河,61500300,新江口,43.16,6,0.18,3650,43.00,44.00,46.18
95,2020-07-01,01:00,环水,62205800,孝感,28.03,4,-1.50,,26.50,27.50,32.28
96,2020-07-01,01:00,松滋河,61501200,沙道观,42.92,6,0.24,1250,43.00,44.00,45.51
97,2020-07-01,01:00,府河,62201400,隔蒲潭,28.46,4,-2.69,715,29.50,30.50,33.57
98,2020-07-01,01:00,藕池河,61502200,管家铺,36.74,5,0.28,1960,37.50,38.50,40.28
99,2020-07-01,01:00,府澴河,62201800,卧龙潭,27.43,4,-1.47,,26.50,27.00,31.19
100,2020-07-01,01:00,藕池河,61501800,康家岗,36.74,6,0.25,57.7,37.50,38.50,40.44
101,2020-07-01,01:00,富水,61607000,阳新,19.92,5,0.21,,20.00,21.50,23.69
102,2020-07-01,01:00,虎渡河,61501500,弥陀寺,41.04,6,0.22,1130,42.00,43.00,44.90
103,2020-07-01,01:00,滠水,61609400,黄陂,25.07,4,-0.11,,25.00,26.00,29.31
104,2020-07-01,01:00,长湖,61014500,长湖,31.77,4,0.22,,31.50,32.50,33.46
105,2020-07-01,01:00,倒水,61610600,李家集,24.86,5,-0.84,,26.30,28.00,30.76
106,2020-07-01,01:00,洪湖,61018000,挖沟咀,25.38,6,0.05,,25.80,26.20,27.46
107,2020-07-01,01:00,举水,61612400,柳子港,24.99,6,-0.74,268,28.00,29.00,33.58
108,2020-07-01,01:00,刁汊湖,62210820,余家咀,24.49,4,-0.01,,25.00,25.70,--
109,2020-07-01,01:00,巴水,61615600,马家潭,22.60,6,-0.35,793,--,--,--
110,2020-07-01,01:00,斧头湖,61714000,三洲,21.66,6,0.07,,21.50,22.80,24.59
111,2020-07-01,01:00,蕲水,61619600,西河驿,20.93,6,0.17,86.8,--,--,--
112,2020-07-01,02:00,长江,60105400,寸滩,169.22,6,-0.47,20100,--,--,--
113,2020-07-01,02:00,梁子湖,61602600,梁子镇,18.56,5,0.06,,19.00,20.50,21.49
114,2020-07-01,02:00,长江,60803000,武隆,185.66,5,6.14,7280,--,--,--
115,2020-07-01,02:00,汉江,61801300,安康,236.89,5,-0.01,892,--,--,259.26
116,2020-07-01,02:00,长江,60107300,宜昌,50.12,4,0.02,36200,52.00,53.00,55.92
117,2020-07-01,02:00,汉江,61801700,白河,173.89,4,0.06,1510,--,187.00,196.63
118,2020-07-01,02:00,长江,60107400,枝城,46.12,4,0.02,38700,48.00,49.00,50.75
119,2020-07-01,02:00,汉江,61802800,黄家港,88.96,4,-0.10,925,--,--,96.45
120,2020-07-01,02:00,长江,60108300,沙市,41.16,5,0.22,32300,42.00,43.00,45.22
121,2020-07-01,02:00,汉江,61803400,襄阳,64.79,5,0.07,,65.50,67.00,71.71
122,2020-07-01,02:00,长江,60110500,监利,34.50,6,0.28,28700,34.50,35.50,38.31
123,2020-07-01,02:00,汉江,61803500,宜城,51.95,4,-0.58,,56.50,57.50,61.45
124,2020-07-01,02:00,长江,60111200,莲花塘,31.26,4,0.33,,--,32.50,35.80
125,2020-07-01,02:00,汉江,61804110,皇庄,43.79,4,-0.49,3470,47.00,48.00,52.30
126,2020-07-01,02:00,长江,60111300,螺山,30.22,5,0.33,42200,31.00,32.00,34.95
127,2020-07-01,02:00,汉江,61804210,沙洋,38.56,4,-0.19,,40.80,41.80,44.50
128,2020-07-01,02:00,长江,60112200,汉口,25.20,6,0.28,44300,25.00,27.30,29.73
129,2020-07-01,02:00,汉江,61804400,岳口,32.48,5,0.82,,36.90,37.90,40.62
130,2020-07-01,02:00,长江,60112900,黄石,21.71,5,0.25,,22.80,24.50,26.39
131,2020-07-01,02:00,汉江,61804600,仙桃,30.07,5,1.06,3230,34.10,35.10,36.24
132,2020-07-01,02:00,长江,60113205,码头镇,19.33,5,0.24,,20.50,21.50,24.04
133,2020-07-01,02:00,汉江,61804710,汉川,27.40,5,0.92,,28.00,29.00,32.09
134,2020-07-01,02:00,长江,60113400,九江,18.37,6,0.24,45300,19.50,20.00,23.03
135,2020-07-01,02:00,汉江,61802700,丹江口水库,159.76,5,0.05,1910(入)<br>991(出),--,--,--
136,2020-07-01,02:00,长江,60106980,三峡水库,146.94,4,-0.68,29000(入)<br>34200(出),--,--,--
137,2020-07-01,02:00,清江,61002791,水布垭,391.76,4,-1.74,1060(入)<br>1930(出),--,--,--
138,2020-07-01,02:00,洞庭湖,61512000,城陵矶,31.33,4,0.32,14600,--,32.50,35.94
139,2020-07-01,02:00,清江,61003101,隔河岩,193.45,5,-1.94,3080(入)<br>2480(出),--,--,--
140,2020-07-01,02:00,鄱阳湖,62601600,湖口,17.77,5,0.22,364,--,19.50,22.59
141,2020-07-01,02:00,沮漳河,60908000,河溶,44.53,4,-1.75,418,47.50,48.50,50.49
142,2020-07-01,02:00,湘江,61102000,湘潭,32.02,,0.41,,--,38.00,41.95
143,2020-07-01,02:00,东荆河,62213000,潜江,33.83,5,0.80,496,38.40,39.70,42.09
144,2020-07-01,02:00,资水,61202100,桃江,33.19,4,0.12,567,--,39.20,44.44
145,2020-07-01,02:00,汉北河,62206900,天门,28.13,4,-0.21,240,28.30,29.30,31.35
146,2020-07-01,02:00,沅水,61302800,桃源,39.23,4,0.16,10900,--,42.50,47.37
147,2020-07-01,02:00,大富水,62209400,应城,26.83,6,-0.04,,27.50,29.00,33.01
148,2020-07-01,02:00,澧水,61400900,石门,52.69,4,-0.56,1210,--,58.50,62.66
149,2020-07-01,02:00,环水,62205600,花园,32.85,4,-0.46,147,--,37.50,39.95
150,2020-07-01,02:00,松滋河,61500300,新江口,43.16,6,0.17,3640,43.00,44.00,46.18
151,2020-07-01,02:00,环水,62205800,孝感,27.98,4,-1.50,,26.50,27.50,32.28
152,2020-07-01,02:00,松滋河,61501200,沙道观,42.92,6,0.24,1250,43.00,44.00,45.51
153,2020-07-01,02:00,府河,62201400,隔蒲潭,28.38,4,-2.65,697,29.50,30.50,33.57
154,2020-07-01,02:00,藕池河,61502200,管家铺,36.75,5,0.28,1970,37.50,38.50,40.28
155,2020-07-01,02:00,府澴河,62201800,卧龙潭,27.37,4,-1.49,,26.50,27.00,31.19
156,2020-07-01,02:00,藕池河,61501800,康家岗,36.75,5,0.24,57.7,37.50,38.50,40.44
157,2020-07-01,02:00,富水,61607000,阳新,19.93,5,0.21,,20.00,21.50,23.69
158,2020-07-01,02:00,虎渡河,61501500,弥陀寺,41.04,6,0.21,1130,42.00,43.00,44.90
159,2020-07-01,02:00,滠水,61609400,黄陂,25.07,6,-0.14,,25.00,26.00,29.31
160,2020-07-01,02:00,长湖,61014500,长湖,31.77,5,0.21,,31.50,32.50,33.46
161,2020-07-01,02:00,倒水,61610600,李家集,24.82,4,-0.82,,26.30,28.00,30.76
162,2020-07-01,02:00,洪湖,61018000,挖沟咀,25.38,6,0.04,,25.80,26.20,27.46
163,2020-07-01,02:00,举水,61612400,柳子港,24.96,6,-0.74,262,28.00,29.00,33.58
164,2020-07-01,02:00,刁汊湖,62210820,余家咀,24.48,4,-0.03,,25.00,25.70,--
165,2020-07-01,02:00,巴水,61615600,马家潭,22.59,6,-0.35,789,--,--,--
166,2020-07-01,02:00,斧头湖,61714000,三洲,21.66,6,0.06,,21.50,22.80,24.59
167,2020-07-01,02:00,蕲水,61619600,西河驿,20.94,5,0.17,87.0,--,--,--
168,2020-07-01,03:00,长江,60105400,寸滩,169.25,5,-0.40,20200,--,--,--
169,2020-07-01,03:00,梁子湖,61602600,梁子镇,18.56,6,0.06,,19.00,20.50,21.49
170,2020-07-01,03:00,长江,60803000,武隆,185.75,5,6.18,7330,--,--,--
171,2020-07-01,03:00,汉江,61801300,安康,236.89,6,-0.01,892,--,--,259.26
172,2020-07-01,03:00,长江,60107300,宜昌,50.01,4,-0.12,36000,52.00,53.00,55.92
173,2020-07-01,03:00,汉江,61801700,白河,173.88,4,0.05,1500,--,187.00,196.63
174,2020-07-01,03:00,长江,60107400,枝城,46.06,4,-0.05,38300,48.00,49.00,50.75
175,2020-07-01,03:00,汉江,61802800,黄家港,88.84,4,-0.08,798,--,--,96.45
176,2020-07-01,03:00,长江,60108300,沙市,41.15,4,0.18,32200,42.00,43.00,45.22
177,2020-07-01,03:00,汉江,61803400,襄阳,64.81,5,0.08,,65.50,67.00,71.71
178,2020-07-01,03:00,长江,60110500,监利,34.52,5,0.29,28800,34.50,35.50,38.31
179,2020-07-01,03:00,汉江,61803500,宜城,51.94,4,-0.54,,56.50,57.50,61.45
180,2020-07-01,03:00,长江,60111200,莲花塘,31.25,4,0.31,,--,32.50,35.80
181,2020-07-01,03:00,汉江,61804110,皇庄,43.76,4,-0.51,3440,47.00,48.00,52.30
182,2020-07-01,03:00,长江,60111300,螺山,30.25,5,0.35,41900,31.00,32.00,34.95
183,2020-07-01,03:00,汉江,61804210,沙洋,38.54,4,-0.21,,40.80,41.80,44.50
184,2020-07-01,03:00,长江,60112200,汉口,25.21,5,0.27,44300,25.00,27.30,29.73
185,2020-07-01,03:00,汉江,61804400,岳口,32.48,6,0.76,,36.90,37.90,40.62
186,2020-07-01,03:00,长江,60112900,黄石,21.71,6,0.24,,22.80,24.50,26.39
187,2020-07-01,03:00,汉江,61804600,仙桃,30.10,5,1.02,3260,34.10,35.10,36.24
188,2020-07-01,03:00,长江,60113205,码头镇,19.31,4,0.20,,20.50,21.50,24.04
189,2020-07-01,03:00,汉江,61804710,汉川,27.43,5,0.90,,28.00,29.00,32.09
190,2020-07-01,03:00,长江,60113400,九江,18.38,5,0.23,45400,19.50,20.00,23.03
191,2020-07-01,03:00,汉江,61802700,丹江口水库,159.77,5,0.06,990(出),--,--,--
192,2020-07-01,03:00,长江,60106980,三峡水库,146.90,4,-0.73,34200(出),--,--,--
193,2020-07-01,03:00,清江,61002791,水布垭,391.73,5,-1.77,,--,--,--
194,2020-07-01,03:00,洞庭湖,61512000,城陵矶,31.34,5,0.34,14600,--,32.50,35.94
195,2020-07-01,03:00,清江,61003101,隔河岩,,,0.00,,--,--,--
196,2020-07-01,03:00,鄱阳湖,62601600,湖口,17.78,5,0.21,800,--,19.50,22.59
197,2020-07-01,03:00,沮漳河,60908000,河溶,44.46,4,-1.74,411,47.50,48.50,50.49
198,2020-07-01,03:00,湘江,61102000,湘潭,32.06,,0.46,,--,38.00,41.95
199,2020-07-01,03:00,东荆河,62213000,潜江,33.83,6,0.74,496,38.40,39.70,42.09
200,2020-07-01,03:00,资水,61202100,桃江,33.10,4,-0.07,532,--,39.20,44.44
201,2020-07-01,03:00,汉北河,62206900,天门,28.11,4,-0.23,240,28.30,29.30,31.35
202,2020-07-01,03:00,沅水,61302800,桃源,39.19,5,-0.25,10900,--,42.50,47.37
203,2020-07-01,03:00,大富水,62209400,应城,26.83,6,-0.02,,27.50,29.00,33.01
204,2020-07-01,03:00,澧水,61400900,石门,52.36,4,-0.88,953,--,58.50,62.66
205,2020-07-01,03:00,环水,62205600,花园,32.85,6,-0.42,147,--,37.50,39.95
206,2020-07-01,03:00,松滋河,61500300,新江口,43.15,4,0.15,3620,43.00,44.00,46.18
207,2020-07-01,03:00,环水,62205800,孝感,27.91,4,-1.52,,26.50,27.50,32.28
208,2020-07-01,03:00,松滋河,61501200,沙道观,42.92,6,0.22,1240,43.00,44.00,45.51
209,2020-07-01,03:00,府河,62201400,隔蒲潭,28.30,4,-2.56,678,29.50,30.50,33.57
210,2020-07-01,03:00,藕池河,61502200,管家铺,36.75,6,0.25,1970,37.50,38.50,40.28
211,2020-07-01,03:00,府澴河,62201800,卧龙潭,27.30,4,-1.51,,26.50,27.00,31.19
212,2020-07-01,03:00,藕池河,61501800,康家岗,36.77,5,0.25,57.8,37.50,38.50,40.44
213,2020-07-01,03:00,富水,61607000,阳新,19.93,6,0.20,,20.00,21.50,23.69
214,2020-07-01,03:00,虎渡河,61501500,弥陀寺,41.04,6,0.20,1130,42.00,43.00,44.90
215,2020-07-01,03:00,滠水,61609400,黄陂,25.06,6,-0.17,,25.00,26.00,29.31
216,2020-07-01,03:00,长湖,61014500,长湖,31.78,5,0.20,,31.50,32.50,33.46
217,2020-07-01,03:00,倒水,61610600,李家集,24.82,4,-0.78,,26.30,28.00,30.76
218,2020-07-01,03:00,洪湖,61018000,挖沟咀,25.39,5,0.05,,25.80,26.20,27.46
219,2020-07-01,03:00,举水,61612400,柳子港,24.94,6,-0.73,258,28.00,29.00,33.58
220,2020-07-01,03:00,刁汊湖,62210820,余家咀,24.48,6,-0.03,,25.00,25.70,--
221,2020-07-01,03:00,巴水,61615600,马家潭,22.59,6,-0.32,789,--,--,--
222,2020-07-01,03:00,斧头湖,61714000,三洲,21.66,6,0.06,,21.50,22.80,24.59
223,2020-07-01,03:00,蕲水,61619600,西河驿,20.95,5,0.17,87.1,--,--,--
224,2020-07-01,04:00,长江,60105400,寸滩,169.27,5,-0.32,20200,--,--,--
225,2020-07-01,04:00,梁子湖,61602600,梁子镇,18.56,6,0.06,,19.00,20.50,21.49
226,2020-07-01,04:00,长江,60803000,武隆,185.85,5,6.39,7390,--,--,--
227,2020-07-01,04:00,汉江,61801300,安康,236.88,4,-0.02,885,--,--,259.26
228,2020-07-01,04:00,长江,60107300,宜昌,49.96,4,-0.20,35900,52.00,53.00,55.92
229,2020-07-01,04:00,汉江,61801700,白河,173.85,4,0.14,1490,--,187.00,196.63
230,2020-07-01,04:00,长江,60107400,枝城,46.01,4,-0.12,37800,48.00,49.00,50.75
231,2020-07-01,04:00,汉江,61802800,黄家港,88.76,4,-0.07,719,--,--,96.45
232,2020-07-01,04:00,长江,60108300,沙市,41.14,4,0.17,32200,42.00,43.00,45.22
233,2020-07-01,04:00,汉江,61803400,襄阳,64.82,5,0.09,,65.50,67.00,71.71
234,2020-07-01,04:00,长江,60110500,监利,34.52,6,0.27,28800,34.50,35.50,38.31
235,2020-07-01,04:00,汉江,61803500,宜城,51.92,4,-0.51,,56.50,57.50,61.45
236,2020-07-01,04:00,长江,60111200,莲花塘,31.22,4,0.32,,--,32.50,35.80
237,2020-07-01,04:00,汉江,61804110,皇庄,43.73,4,-0.54,3420,47.00,48.00,52.30
238,2020-07-01,04:00,长江,60111300,螺山,30.23,4,0.32,42200,31.00,32.00,34.95
239,2020-07-01,04:00,汉江,61804210,沙洋,38.51,4,-0.25,,40.80,41.80,44.50
240,2020-07-01,04:00,长江,60112200,汉口,25.21,6,0.25,44300,25.00,27.30,29.73
241,2020-07-01,04:00,汉江,61804400,岳口,32.50,5,0.74,,36.90,37.90,40.62
242,2020-07-01,04:00,长江,60112900,黄石,21.71,6,0.24,,22.80,24.50,26.39
243,2020-07-01,04:00,汉江,61804600,仙桃,30.12,5,0.97,3280,34.10,35.10,36.24
244,2020-07-01,04:00,长江,60113205,码头镇,19.30,4,0.20,,20.50,21.50,24.04
245,2020-07-01,04:00,汉江,61804710,汉川,27.45,5,0.86,,28.00,29.00,32.09
246,2020-07-01,04:00,长江,60113400,九江,18.38,6,0.21,45500,19.50,20.00,23.03
247,2020-07-01,04:00,汉江,61802700,丹江口水库,159.77,6,0.05,982(出),--,--,--
248,2020-07-01,04:00,长江,60106980,三峡水库,146.86,4,-0.74,34300(出),--,--,--
249,2020-07-01,04:00,清江,61002791,水布垭,391.71,5,-1.77,,--,--,--
250,2020-07-01,04:00,洞庭湖,61512000,城陵矶,31.33,4,0.35,14600,--,32.50,35.94
251,2020-07-01,04:00,清江,61003101,隔河岩,,,0.00,,--,--,--
252,2020-07-01,04:00,鄱阳湖,62601600,湖口,17.79,5,0.22,900,--,19.50,22.59
253,2020-07-01,04:00,沮漳河,60908000,河溶,44.40,4,-1.72,406,47.50,48.50,50.49
254,2020-07-01,04:00,湘江,61102000,湘潭,32.10,,0.51,,--,38.00,41.95
255,2020-07-01,04:00,东荆河,62213000,潜江,33.86,5,0.74,502,38.40,39.70,42.09
256,2020-07-01,04:00,资水,61202100,桃江,33.05,4,-0.21,514,--,39.20,44.44
257,2020-07-01,04:00,汉北河,62206900,天门,28.09,4,-0.25,239,28.30,29.30,31.35
258,2020-07-01,04:00,沅水,61302800,桃源,38.99,4,-0.54,10600,--,42.50,47.37
259,2020-07-01,04:00,大富水,62209400,应城,26.84,5,0.00,,27.50,29.00,33.01
260,2020-07-01,04:00,澧水,61400900,石门,52.26,6,-0.98,878,--,58.50,62.66
261,2020-07-01,04:00,环水,62205600,花园,32.84,4,-0.40,144,--,37.50,39.95
262,2020-07-01,04:00,松滋河,61500300,新江口,43.12,4,0.11,3600,43.00,44.00,46.18
263,2020-07-01,04:00,环水,62205800,孝感,27.84,4,-1.55,,26.50,27.50,32.28
264,2020-07-01,04:00,松滋河,61501200,沙道观,42.91,4,0.20,1240,43.00,44.00,45.51
265,2020-07-01,04:00,府河,62201400,隔蒲潭,28.24,4,-2.50,661,29.50,30.50,33.57
266,2020-07-01,04:00,藕池河,61502200,管家铺,36.76,5,0.27,1970,37.50,38.50,40.28
267,2020-07-01,04:00,府澴河,62201800,卧龙潭,27.24,4,-1.52,,26.50,27.00,31.19
268,2020-07-01,04:00,藕池河,61501800,康家岗,36.77,6,0.24,57.8,37.50,38.50,40.44
269,2020-07-01,04:00,富水,61607000,阳新,19.94,5,0.20,,20.00,21.50,23.69
270,2020-07-01,04:00,虎渡河,61501500,弥陀寺,41.03,4,0.18,1120,42.00,43.00,44.90
271,2020-07-01,04:00,滠水,61609400,黄陂,25.05,6,-0.19,,25.00,26.00,29.31
272,2020-07-01,04:00,长湖,61014500,长湖,31.78,4,0.19,,31.50,32.50,33.46
273,2020-07-01,04:00,倒水,61610600,李家集,24.80,4,-0.75,,26.30,28.00,30.76
274,2020-07-01,04:00,洪湖,61018000,挖沟咀,25.39,6,0.05,,25.80,26.20,27.46
275,2020-07-01,04:00,举水,61612400,柳子港,24.92,6,-0.72,254,28.00,29.00,33.58
276,2020-07-01,04:00,刁汊湖,62210820,余家咀,24.47,4,-0.06,,25.00,25.70,--
277,2020-07-01,04:00,巴水,61615600,马家潭,22.60,6,-0.25,793,--,--,--
278,2020-07-01,04:00,斧头湖,61714000,三洲,21.66,6,0.05,,21.50,22.80,24.59
279,2020-07-01,04:00,蕲水,61619600,西河驿,20.95,6,0.15,87.1,--,--,--
280,2020-07-01,05:00,长江,60105400,寸滩,169.29,5,-0.29,20300,--,--,--
281,2020-07-01,05:00,梁子湖,61602600,梁子镇,18.56,6,0.06,,19.00,20.50,21.49
